,Y染色体浓度,gestational_days,孕妇BMI,年龄,身高,体重,Y染色体的Z值,X染色体的Z值,13号染色体的Z值,18号染色体的Z值,21号染色体的Z值,GC含量,13号染色体的GC含量,18号染色体的GC含量,21号染色体的GC含量,原始读段数,在参考基因组上比对的比例,重复读段的比例,唯一比对的读段数  ,被过滤掉读段数的比例,X染色体浓度,IVF_indicator,怀孕次数_num,生产次数_num,检测抽血次数_num
Y染色体浓度,1.0,0.06904914681427303,-0.14952070236298315,-0.12169126350996017,-0.08209186023736718,-0.1507153296041314,0.0916432707397839,-0.07385885086628965,-0.09526896111582074,-0.19815960599502866,0.025441170541442924,-0.006780420870758286,-0.03204255920268828,-0.04351098308870813,-0.00433041262777321,-0.07939330987643321,-0.1495836729512849,0.09029808152524348,-0.05755486993241656,0.10039457852819009,0.4253457984801268,,-0.039192709098720996,-0.02700588121677783,0.3132354228348582
gestational_days,0.06904914681427303,1.0,0.14470546274880958,0.004834389698952436,0.0068389338807835235,0.11142884245948549,0.09178553947420326,0.14691415856301845,0.1592032291217693,0.28199470505652235,0.03421455642467338,-0.05786226018728302,-0.06856728544870276,-0.049466933855398514,-0.09882309786024283,-0.08586139133509411,0.004003803070863785,0.007286518822625948,-0.10406185891680206,0.013105995471079697,0.13183934844886824,,0.06872448026608721,0.07269969180295707,0.7938841979237387
孕妇BMI,-0.14952070236298315,0.14470546274880958,1.0,0.006546527717023342,0.05927048354282439,0.7677150107598675,0.026011286145130905,0.002187049752318397,0.019282073407922422,0.11245676443401328,-0.007720023644161975,-0.0005723734678503244,0.018624971743356335,-0.026525286306020128,-0.060324140941497344,-0.052644369970490684,0.03320412679846111,0.009146998776524801,-0.07073905880831738,-0.017435920546939303,-0.04164291106812973,,0.045513536901371804,0.041291548902026576,0.16087372366414499
年龄,-0.12169126350996017,0.004834389698952436,0.006546527717023342,1.0,0.04577440470976,0.03228994628458205,-0.10251921008295246,-0.08012072166606325,-0.03614247627320493,-0.013711709513762724,-0.04482515261804053,0.037624840610866024,0.04929489738172971,0.07165446259706917,0.07500327836596739,-0.02184685549869704,0.020002880161834005,0.06301381549672437,-0.0030530506201126733,0.007702685059095619,-0.009375495876210064,,0.2001956321282054,0.1459739988271946,0.005251316409317714
身高,-0.08209186023736718,0.0068389338807835235,0.05927048354282439,0.04577440470976,1.0,0.6521586154355306,-0.06009236946121812,-0.029431003292460525,-0.003036325695547989,0.022773886229729843,-0.03914961068705261,0.0013345114391502915,0.02567253010296647,0.018189610153647093,0.06258385848835281,-0.009086407119482824,0.037307194729493176,-0.03001302047348675,-0.005432776742437755,0.017850147030331262,-0.016086334794182127,,0.024600882931163758,-0.040149303192632144,-0.013439963392739042
体重,-0.1507153296041314,0.11142884245948549,0.7677150107598675,0.03228994628458205,0.6521586154355306,1.0,-0.0013530323539572555,-0.017904481150707505,0.012822292554567358,0.08913987338984412,-0.01734361895791248,0.0012166298794917972,0.032712162964739694,-0.004770797054731925,-0.008952867880871698,-0.05656424796692771,0.039610247881234024,-0.0023766417799904517,-0.06475774063557536,-0.012648842578855339,-0.029555951721530242,,0.047882075329604354,0.013606917772106757,0.11559129923185635
Y染色体的Z值,0.0916432707397839,0.09178553947420326,0.026011286145130905,-0.10251921008295246,-0.06009236946121812,-0.0013530323539572555,1.0,0.52945889840791,0.2844625255861497,0.20405917508053573,0.09363759153497761,-0.294288429397282,-0.280568247666841,-0.2761509836208382,-0.2772834958518069,-0.05142097690561349,-0.03924804230416535,-0.015030850999088786,-0.058797148576374116,0.05072811380254952,-0.15707591202979787,,-0.030154885658488548,0.03579413161709626,0.06826316484858379
X染色体的Z值,-0.07385885086628965,0.14691415856301845,0.002187049752318397,-0.08012072166606325,-0.029431003292460525,-0.017904481150707505,0.52945889840791,1.0,0.32730207372603715,0.29243042939103725,0.08620040286680405,-0.3220242140258932,-0.24866143414428554,-0.28358427758704924,-0.3299635992694181,-0.02176263183128536,-0.08388093311122495,-0.06853760855497106,-0.039673111683656614,0.03797462778172888,-0.2705560910892312,,-0.0009059934337982093,0.06427560545017211,0.08464051456391058
13号染色体的Z值,-0.09526896111582074,0.1592032291217693,0.019282073407922422,-0.03614247627320493,-0.003036325695547989,0.012822292554567358,0.2844625255861497,0.32730207372603715,1.0,0.3570592742130995,0.015835303877483588,-0.10912104522598318,-0.06827163129238563,-0.12910680276359882,-0.17819902504669705,-0.015651319323725703,0.01706219340549572,-0.00658449691565861,-0.020424838174404113,-0.006884593183355508,-0.1871964138167805,,0.007099739494174792,0.03392019475132248,0.07874745429677446
18号染色体的Z值,-0.19815960599502866,0.28199470505652235,0.11245676443401328,-0.013711709513762724,0.022773886229729843,0.08913987338984412,0.20405917508053573,0.29243042939103725,0.3570592742130995,1.0,-0.00010393165349440536,-0.090683657350232,-0.07715837117451423,-0.041550708115164384,-0.15065901858061656,-0.11778404353150686,0.032363937756813066,-0.007758056679670595,-0.12631026088551695,-0.040481809349583606,-0.17883259240639893,,0.04485439814839507,0.07317481162837676,0.1199724266860852
21号染色体的Z值,0.025441170541442924,0.03421455642467338,-0.007720023644161975,-0.04482515261804053,-0.03914961068705261,-0.01734361895791248,0.09363759153497761,0.08620040286680405,0.015835303877483588,-0.00010393165349440536,1.0,-0.03297694488498196,0.000956572355352127,-0.018325316665525972,-0.02483120478389597,-0.06908250215725645,0.0014507546059837771,-0.032304058419479184,-0.008618742052692896,-0.02869972326319194,-0.04879575815318659,,-0.050410152178709325,0.022203430805358068,0.06200516651667663
GC含量,-0.006780420870758286,-0.05786226018728302,-0.0005723734678503244,0.037624840610866024,0.0013345114391502915,0.0012166298794917972,-0.294288429397282,-0.3220242140258932,-0.10912104522598318,-0.090683657350232,-0.03297694488498196,1.0,0.5750126058156434,0.5021657113931531,0.5445605489058767,0.021341201817727428,-0.036496369849653196,0.02037723390468915,-0.028743615346308787,-0.013687127817784516,0.03336626192021768,,0.004391407163089963,-0.04130917768786973,-0.05230686062988831
13号染色体的GC含量,-0.03204255920268828,-0.06856728544870276,0.018624971743356335,0.04929489738172971,0.02567253010296647,0.032712162964739694,-0.280568247666841,-0.24866143414428554,-0.06827163129238563,-0.07715837117451423,0.000956572355352127,0.5750126058156434,1.0,0.5558217222925714,0.51140740157697,-0.008384811988239852,-0.04309277701624036,0.030756745954763964,0.016433913794294482,-0.007596827715644497,0.004645424016368309,,0.05676951364160344,0.011225072905238023,-0.05538171067100236
18号染色体的GC含量,-0.04351098308870813,-0.049466933855398514,-0.026525286306020128,0.07165446259706917,0.018189610153647093,-0.004770797054731925,-0.2761509836208382,-0.28358427758704924,-0.12910680276359882,-0.041550708115164384,-0.018325316665525972,0.5021657113931531,0.5558217222925714,1.0,0.5079616606122285,-0.02638129616498179,-0.000379507345799951,-0.02304801476100796,-0.04091674690919661,-0.04614852777056699,0.03660589531262846,,0.03413530438841583,0.016251327149589517,-0.071049322412239
21号染色体的GC含量,-0.00433041262777321,-0.09882309786024283,-0.060324140941497344,0.07500327836596739,0.06258385848835281,-0.008952867880871698,-0.2772834958518069,-0.3299635992694181,-0.17819902504669705,-0.15065901858061656,-0.02483120478389597,0.5445605489058767,0.51140740157697,0.5079616606122285,1.0,-0.00891338282026251,-0.017589429568783812,0.05921827234288408,-0.0021053708552712996,-0.04224551127576025,0.037406322206972105,,0.021548910426861474,-0.0014638412757713168,-0.06770310161469059
原始读段数,-0.07939330987643321,-0.08586139133509411,-0.052644369970490684,-0.02184685549869704,-0.009086407119482824,-0.05656424796692771,-0.05142097690561349,-0.02176263183128536,-0.015651319323725703,-0.11778404353150686,-0.06908250215725645,0.021341201817727428,-0.008384811988239852,-0.02638129616498179,-0.00891338282026251,1.0,0.0419842673659519,0.0008565135199837887,0.5437392826408262,0.21137866206280803,-0.012094916716685142,,-0.04270049836684852,-0.08154415067516155,-0.08087760900982233
在参考基因组上比对的比例,-0.1495836729512849,0.004003803070863785,0.03320412679846111,0.020002880161834005,0.037307194729493176,0.039610247881234024,-0.03924804230416535,-0.08388093311122495,0.01706219340549572,0.032363937756813066,0.0014507546059837771,-0.036496369849653196,-0.04309277701624036,-0.000379507345799951,-0.017589429568783812,0.0419842673659519,1.0,-0.10468384189638202,0.08994969565730264,-0.1426418042847272,-0.006869619756854558,,-0.013514065267129127,-0.014253662539842017,-0.049848919121012476
重复读段的比例,0.09029808152524348,0.007286518822625948,0.009146998776524801,0.06301381549672437,-0.03001302047348675,-0.0023766417799904517,-0.015030850999088786,-0.06853760855497106,-0.00658449691565861,-0.007758056679670595,-0.032304058419479184,0.02037723390468915,0.030756745954763964,-0.02304801476100796,0.05921827234288408,0.0008565135199837887,-0.10468384189638202,1.0,0.044134573009674556,-0.06942783239793386,0.07191567173806458,,0.06404013720652131,0.11266621666216234,0.012833443149733023
唯一比对的读段数  ,-0.05755486993241656,-0.10406185891680206,-0.07073905880831738,-0.0030530506201126733,-0.005432776742437755,-0.06475774063557536,-0.058797148576374116,-0.039673111683656614,-0.020424838174404113,-0.12631026088551695,-0.008618742052692896,-0.028743615346308787,0.016433913794294482,-0.04091674690919661,-0.0021053708552712996,0.5437392826408262,0.08994969565730264,0.044134573009674556,1.0,0.14810814925104734,-0.07768516944754221,,-0.03248952217985591,-0.07261657327436323,-0.09199743911075456
被过滤掉读段数的比例,0.10039457852819009,0.013105995471079697,-0.017435920546939303,0.007702685059095619,0.017850147030331262,-0.012648842578855339,0.05072811380254952,0.03797462778172888,-0.006884593183355508,-0.040481809349583606,-0.02869972326319194,-0.013687127817784516,-0.007596827715644497,-0.04614852777056699,-0.04224551127576025,0.21137866206280803,-0.1426418042847272,-0.06942783239793386,0.14810814925104734,1.0,0.0054276245638006735,,-0.004310373954887683,-0.06311984620567263,0.047628488051789444
X染色体浓度,0.4253457984801268,0.13183934844886824,-0.04164291106812973,-0.009375495876210064,-0.016086334794182127,-0.029555951721530242,-0.15707591202979787,-0.2705560910892312,-0.1871964138167805,-0.17883259240639893,-0.04879575815318659,0.03336626192021768,0.004645424016368309,0.03660589531262846,0.037406322206972105,-0.012094916716685142,-0.006869619756854558,0.07191567173806458,-0.07768516944754221,0.0054276245638006735,1.0,,0.09891780476149345,0.06849767874075978,0.150318122180953
IVF_indicator,,,,,,,,,,,,,,,,,,,,,,,,,
