Variable,Coefficient,Std_Error,t_value,p_value,Significance,CI_lower,CI_upper,Model
const,-0.24190518667969896,0.211929753788906,-1.1414404176614588,0.2539801968691435,ns,-0.6578205781117026,0.1740102047523046,basic_random_intercept
gestational_days,0.00045801648959695125,2.543995338461447e-05,18.00382581966324,0.0,***,0.0004080901909965528,0.0005079427881973498,basic_random_intercept
BMI_centered,0.01049214125926318,0.006491393532147727,1.6163156966685666,0.10636485163013054,ns,-0.002247318083249062,0.023231600601775423,basic_random_intercept
age_centered,-0.0009009516697024495,0.0005321613478912417,-1.69300471233506,0.09078911735202921,ns,-0.0019453264748259891,0.00014342313542108998,basic_random_intercept
身高,0.003969945115578126,0.002559196377030983,1.551246770747544,0.12118240829669635,ns,-0.0010525170157393024,0.008992407246895553,basic_random_intercept
体重,-0.004437046538259068,0.0024367479849679474,-1.820888563622812,0.06894467212581024,ns,-0.009219201822592452,0.00034510874607431626,basic_random_intercept
Intercept,-0.04929322508696157,0.20187501371577307,-0.24417694978519353,0.8071478682102209,ns,-0.44547881959393165,0.34689236942000856,random_slope
gd,1.618581591945777e-05,5.6538613216849166e-05,0.2862789693369099,0.7747284981754134,ns,-9.47728593401485e-05,0.00012714449117906404,random_slope
bmi_c,0.003927716487051226,0.0062171559035538665,0.6317545430710616,0.5277032082214124,ns,-0.008273633063121236,0.01612906603722369,random_slope
age_c,-0.0008221220626193097,0.00043940216989292723,-1.8710013717493543,0.06166007124463069,ns,-0.0016844616196671283,4.021749442850893e-05,random_slope
height,0.0016597311756645521,0.0024595997135062803,0.6747972715033878,0.49997301418910034,ns,-0.0031673049037812813,0.006486767255110385,random_slope
weight,-0.002065226570104577,0.002354210092051118,-0.8772482018821174,0.3805793721891333,ns,-0.006685432447721348,0.0025549793075121934,random_slope
x_conc,0.18511488908923646,0.014919433483736672,12.407635269196106,0.0,***,0.15583506631342964,0.21439471186504327,random_slope
y_z,0.0003684620862251236,0.0005047417499958457,0.7300012060190311,0.46557407518295735,ns,-0.0006221082999452985,0.0013590324723955457,random_slope
x_z,-0.000448119226553831,0.0005287097142111831,-0.8475713884364876,0.3968957255923442,ns,-0.0014857274406207981,0.0005894889875131363,random_slope
chr18_z,-0.0007579302590082133,0.0004847256313998255,-1.563627359294799,0.11824676871055306,ns,-0.0017092184294169002,0.00019335791140047355,random_slope
blood_draw_num,0.00847528213844885,0.0009165982112809422,9.246452845030843,0.0,***,0.006676431450707735,0.010274132826189965,random_slope
Intercept,0.04427580226433438,0.1535554067509614,0.2883376313550559,0.7731531105429994,ns,-0.25708286721447926,0.345634471743148,interaction_effects
gd,-0.0005678919879881352,6.665806372142264e-05,-8.519479209019169,0.0,***,-0.0006987111223850171,-0.0004370728535912532,interaction_effects
bmi_c,0.00045940646995906655,0.004719723148172598,0.09733758856956291,0.9224794611246003,ns,-0.008803240273235122,0.009722053213153257,interaction_effects
gd:bmi_c,1.550403074208682e-05,5.961924645091069e-06,2.6005076657338386,0.009457587030558878,**,3.803513537300453e-06,2.7204547946873187e-05,interaction_effects
age_c,-0.0005367510710379883,0.0006547445415486679,-0.8197870115395091,0.41254940428231235,ns,-0.0018217136006194287,0.0007482114585434519,interaction_effects
gd:age_c,-1.7267375054738166e-06,4.912803691984132e-06,-0.3514770004531648,0.7253108291754904,ns,-1.1368312591319315e-05,7.914837580371684e-06,interaction_effects
height,0.0011130932240514901,0.0018670793663220532,0.5961681351790443,0.551209240267005,ns,-0.0025511252202960423,0.004777311668399023,interaction_effects
weight,-0.0014634519330077268,0.001789070960370566,-0.8179954654814839,0.4135711200483385,ns,-0.0049745757392496166,0.0020476718732341625,interaction_effects
x_conc,-0.4952312711128243,0.05331949644568529,-9.287996026318424,0.0,***,-0.5998729300822923,-0.39058961214335625,interaction_effects
y_z,-0.013852738811857895,0.0018846412367329174,-7.350332011132282,4.3565151486291143e-13,***,-0.017551423134109425,-0.010154054489606365,interaction_effects
x_z,-0.00015980602672591228,0.0005449570239288104,-0.2932451912883102,0.7694007328151016,ns,-0.0012293061317965668,0.0009096940783447423,interaction_effects
chr18_z,-2.076682374153706e-06,0.00048743954059453235,-0.0042603896508288325,0.9966016327600551,ns,-0.0009586964101520733,0.000954543045403766,interaction_effects
blood_draw_num,0.010511392748353412,0.0009377592463214237,11.20905263220466,0.0,***,0.00867100246355408,0.012351783033152744,interaction_effects
gd:y_z,0.00012873116170291385,1.645597727540647e-05,7.822760055417865,1.3988810110276972e-14,***,9.643564361195585e-05,0.00016102667979387184,interaction_effects
gd:x_conc,0.006594140863097641,0.0004521274182614735,14.584695810870134,0.0,***,0.005706822597429893,0.007481459128765389,interaction_effects
